factor
"group_mean((open - high)/(returns - close), subindustry)"
"group_zscore(-(open - high)/(returns - close), subindustry)"
"group_rank(-(open - high)/(returns - close), subindustry)"
"group_mean(-(open - high)/(returns - close), subindustry)"
"group_zscore((open - high)/(returns - vwap), subindustry)"
"group_rank((open - high)/(returns - vwap), subindustry)"
"group_mean((open - high)/(returns - vwap), subindustry)"
"group_zscore(-(open - high)/(returns - vwap), subindustry)"
"group_rank(-(open - high)/(returns - vwap), subindustry)"
"group_mean(-(open - high)/(returns - vwap), subindustry)"
"group_zscore((open - high)/(returns - adj_close), subindustry)"
"group_rank((open - high)/(returns - adj_close), subindustry)"
"group_mean((open - high)/(returns - adj_close), subindustry)"
"group_zscore(-(open - high)/(returns - adj_close), subindustry)"
"group_rank(-(open - high)/(returns - adj_close), subindustry)"
"group_mean(-(open - high)/(returns - adj_close), subindustry)"
"group_zscore((open - high)/(adj_close - open), subindustry)"
"group_rank((open - high)/(adj_close - open), subindustry)"
"group_mean((open - high)/(adj_close - open), subindustry)"
"group_zscore(-(open - high)/(adj_close - open), subindustry)"
"group_rank(-(open - high)/(adj_close - open), subindustry)"
"group_mean(-(open - high)/(adj_close - open), subindustry)"
"group_zscore((open - high)/(adj_close - high), subindustry)"
"group_rank((open - high)/(adj_close - high), subindustry)"
"group_mean((open - high)/(adj_close - high), subindustry)"
"group_zscore(-(open - high)/(adj_close - high), subindustry)"
"group_rank(-(open - high)/(adj_close - high), subindustry)"
"group_mean(-(open - high)/(adj_close - high), subindustry)"
"group_zscore((open - high)/(adj_close - low), subindustry)"
"group_rank((open - high)/(adj_close - low), subindustry)"
"group_mean((open - high)/(adj_close - low), subindustry)"
"group_zscore(-(open - high)/(adj_close - low), subindustry)"
"group_rank(-(open - high)/(adj_close - low), subindustry)"
"group_mean(-(open - high)/(adj_close - low), subindustry)"
"group_zscore((open - high)/(adj_close - close), subindustry)"
"group_rank((open - high)/(adj_close - close), subindustry)"
"group_mean((open - high)/(adj_close - close), subindustry)"
"group_zscore(-(open - high)/(adj_close - close), subindustry)"
"group_rank(-(open - high)/(adj_close - close), subindustry)"
"group_mean(-(open - high)/(adj_close - close), subindustry)"
"group_zscore((open - high)/(adj_close - vwap), subindustry)"
"group_rank((open - high)/(adj_close - vwap), subindustry)"
"group_mean((open - high)/(adj_close - vwap), subindustry)"
"group_zscore(-(open - high)/(adj_close - vwap), subindustry)"
"group_rank(-(open - high)/(adj_close - vwap), subindustry)"
"group_mean(-(open - high)/(adj_close - vwap), subindustry)"
"group_zscore((open - high)/(adj_close - returns), subindustry)"
"group_rank((open - high)/(adj_close - returns), subindustry)"
"group_mean((open - high)/(adj_close - returns), subindustry)"
"group_zscore(-(open - high)/(adj_close - returns), subindustry)"
"group_rank(-(open - high)/(adj_close - returns), subindustry)"
"group_mean(-(open - high)/(adj_close - returns), subindustry)"
"group_zscore((open - low)/(open - high), subindustry)"
"group_rank((open - low)/(open - high), subindustry)"
"group_mean((open - low)/(open - high), subindustry)"
"group_zscore(-(open - low)/(open - high), subindustry)"
"group_rank(-(open - low)/(open - high), subindustry)"
"group_mean(-(open - low)/(open - high), subindustry)"
"group_zscore((open - low)/(open - low), subindustry)"
"group_rank((open - low)/(open - low), subindustry)"
"group_mean((open - low)/(open - low), subindustry)"
"group_zscore(-(open - low)/(open - low), subindustry)"
"group_rank(-(open - low)/(open - low), subindustry)"
"group_mean(-(open - low)/(open - low), subindustry)"
"group_zscore((open - low)/(open - close), subindustry)"
"group_rank((open - low)/(open - close), subindustry)"
"group_mean((open - low)/(open - close), subindustry)"
"group_zscore(-(open - low)/(open - close), subindustry)"
"group_rank(-(open - low)/(open - close), subindustry)"
"group_mean(-(open - low)/(open - close), subindustry)"
"group_zscore((open - low)/(open - vwap), subindustry)"
"group_rank((open - low)/(open - vwap), subindustry)"
"group_mean((open - low)/(open - vwap), subindustry)"
"group_zscore(-(open - low)/(open - vwap), subindustry)"
"group_rank(-(open - low)/(open - vwap), subindustry)"
"group_mean(-(open - low)/(open - vwap), subindustry)"
"group_zscore((open - low)/(open - returns), subindustry)"
"group_rank((open - low)/(open - returns), subindustry)"
"group_mean((open - low)/(open - returns), subindustry)"
"group_zscore(-(open - low)/(open - returns), subindustry)"
"group_rank(-(open - low)/(open - returns), subindustry)"
"group_mean(-(open - low)/(open - returns), subindustry)"
"group_zscore((open - low)/(open - adj_close), subindustry)"
"group_rank((open - low)/(open - adj_close), subindustry)"
"group_mean((open - low)/(open - adj_close), subindustry)"
"group_zscore(-(open - low)/(open - adj_close), subindustry)"
"group_rank(-(open - low)/(open - adj_close), subindustry)"
"group_mean(-(open - low)/(open - adj_close), subindustry)"
"group_zscore((open - low)/(high - open), subindustry)"
"group_rank((open - low)/(high - open), subindustry)"
"group_mean((open - low)/(high - open), subindustry)"
"group_zscore(-(open - low)/(high - open), subindustry)"
"group_rank(-(open - low)/(high - open), subindustry)"
"group_mean(-(open - low)/(high - open), subindustry)"
"group_zscore((open - low)/(high - low), subindustry)"
"group_rank((open - low)/(high - low), subindustry)"
"group_mean((open - low)/(high - low), subindustry)"
"group_zscore(-(open - low)/(high - low), subindustry)"
"group_rank(-(open - low)/(high - low), subindustry)"
"group_mean(-(open - low)/(high - low), subindustry)"
"group_zscore((open - low)/(high - close), subindustry)"
"group_rank((open - low)/(high - close), subindustry)"
"group_mean((open - low)/(high - close), subindustry)"
"group_zscore(-(open - low)/(high - close), subindustry)"
"group_rank(-(open - low)/(high - close), subindustry)"
"group_mean(-(open - low)/(high - close), subindustry)"
"group_zscore((open - low)/(high - vwap), subindustry)"
"group_rank((open - low)/(high - vwap), subindustry)"
"group_mean((open - low)/(high - vwap), subindustry)"
"group_zscore(-(open - low)/(high - vwap), subindustry)"
"group_rank(-(open - low)/(high - vwap), subindustry)"
"group_mean(-(open - low)/(high - vwap), subindustry)"
"group_zscore((open - low)/(high - returns), subindustry)"
"group_rank((open - low)/(high - returns), subindustry)"
"group_mean((open - low)/(high - returns), subindustry)"
"group_zscore(-(open - low)/(high - returns), subindustry)"
"group_rank(-(open - low)/(high - returns), subindustry)"
"group_mean(-(open - low)/(high - returns), subindustry)"
"group_zscore((open - low)/(high - adj_close), subindustry)"
"group_rank((open - low)/(high - adj_close), subindustry)"
"group_mean((open - low)/(high - adj_close), subindustry)"
"group_zscore(-(open - low)/(high - adj_close), subindustry)"
"group_rank(-(open - low)/(high - adj_close), subindustry)"
"group_mean(-(open - low)/(high - adj_close), subindustry)"
"group_zscore((open - low)/(low - open), subindustry)"
"group_rank((open - low)/(low - open), subindustry)"
"group_mean((open - low)/(low - open), subindustry)"
"group_zscore(-(open - low)/(low - open), subindustry)"
"group_rank(-(open - low)/(low - open), subindustry)"
"group_mean(-(open - low)/(low - open), subindustry)"
"group_zscore((open - low)/(low - high), subindustry)"
"group_rank((open - low)/(low - high), subindustry)"
"group_mean((open - low)/(low - high), subindustry)"
"group_zscore(-(open - low)/(low - high), subindustry)"
"group_rank(-(open - low)/(low - high), subindustry)"
"group_mean(-(open - low)/(low - high), subindustry)"
"group_zscore((open - low)/(low - close), subindustry)"
"group_rank((open - low)/(low - close), subindustry)"
"group_mean((open - low)/(low - close), subindustry)"
"group_zscore(-(open - low)/(low - close), subindustry)"
"group_rank(-(open - low)/(low - close), subindustry)"
"group_mean(-(open - low)/(low - close), subindustry)"
"group_zscore((open - low)/(low - vwap), subindustry)"
"group_rank((open - low)/(low - vwap), subindustry)"
"group_mean((open - low)/(low - vwap), subindustry)"
"group_zscore(-(open - low)/(low - vwap), subindustry)"
"group_rank(-(open - low)/(low - vwap), subindustry)"
"group_mean(-(open - low)/(low - vwap), subindustry)"
"group_zscore((open - low)/(low - returns), subindustry)"
"group_rank((open - low)/(low - returns), subindustry)"
"group_mean((open - low)/(low - returns), subindustry)"
"group_zscore(-(open - low)/(low - returns), subindustry)"
"group_rank(-(open - low)/(low - returns), subindustry)"
"group_mean(-(open - low)/(low - returns), subindustry)"
"group_zscore((open - low)/(low - adj_close), subindustry)"
"group_rank((open - low)/(low - adj_close), subindustry)"
"group_mean((open - low)/(low - adj_close), subindustry)"
"group_zscore(-(open - low)/(low - adj_close), subindustry)"
"group_rank(-(open - low)/(low - adj_close), subindustry)"
"group_mean(-(open - low)/(low - adj_close), subindustry)"
"group_zscore((open - low)/(close - open), subindustry)"
"group_rank((open - low)/(close - open), subindustry)"
"group_mean((open - low)/(close - open), subindustry)"
"group_zscore(-(open - low)/(close - open), subindustry)"
"group_rank(-(open - low)/(close - open), subindustry)"
"group_mean(-(open - low)/(close - open), subindustry)"
"group_zscore((open - low)/(close - high), subindustry)"
"group_rank((open - low)/(close - high), subindustry)"
"group_mean((open - low)/(close - high), subindustry)"
"group_zscore(-(open - low)/(close - high), subindustry)"
"group_rank(-(open - low)/(close - high), subindustry)"
"group_mean(-(open - low)/(close - high), subindustry)"
"group_zscore((open - low)/(close - low), subindustry)"
"group_rank((open - low)/(close - low), subindustry)"
"group_mean((open - low)/(close - low), subindustry)"
"group_zscore(-(open - low)/(close - low), subindustry)"
"group_rank(-(open - low)/(close - low), subindustry)"
"group_mean(-(open - low)/(close - low), subindustry)"
"group_zscore((open - low)/(close - vwap), subindustry)"
"group_rank((open - low)/(close - vwap), subindustry)"
"group_mean((open - low)/(close - vwap), subindustry)"
"group_zscore(-(open - low)/(close - vwap), subindustry)"
"group_rank(-(open - low)/(close - vwap), subindustry)"
"group_mean(-(open - low)/(close - vwap), subindustry)"
"group_zscore((open - low)/(close - returns), subindustry)"
"group_rank((open - low)/(close - returns), subindustry)"
"group_mean((open - low)/(close - returns), subindustry)"
"group_zscore(-(open - low)/(close - returns), subindustry)"
"group_rank(-(open - low)/(close - returns), subindustry)"
"group_mean(-(open - low)/(close - returns), subindustry)"
"group_zscore((open - low)/(close - adj_close), subindustry)"
"group_rank((open - low)/(close - adj_close), subindustry)"
"group_mean((open - low)/(close - adj_close), subindustry)"
"group_zscore(-(open - low)/(close - adj_close), subindustry)"
"group_rank(-(open - low)/(close - adj_close), subindustry)"
"group_mean(-(open - low)/(close - adj_close), subindustry)"
"group_zscore((open - low)/(vwap - open), subindustry)"
"group_rank((open - low)/(vwap - open), subindustry)"
"group_mean((open - low)/(vwap - open), subindustry)"
"group_zscore(-(open - low)/(vwap - open), subindustry)"
"group_rank(-(open - low)/(vwap - open), subindustry)"
"group_mean(-(open - low)/(vwap - open), subindustry)"
"group_zscore((open - low)/(vwap - high), subindustry)"
"group_rank((open - low)/(vwap - high), subindustry)"
"group_mean((open - low)/(vwap - high), subindustry)"
"group_zscore(-(open - low)/(vwap - high), subindustry)"
"group_rank(-(open - low)/(vwap - high), subindustry)"
"group_mean(-(open - low)/(vwap - high), subindustry)"
"group_zscore((open - low)/(vwap - low), subindustry)"
"group_rank((open - low)/(vwap - low), subindustry)"
"group_mean((open - low)/(vwap - low), subindustry)"
"group_zscore(-(open - low)/(vwap - low), subindustry)"
"group_rank(-(open - low)/(vwap - low), subindustry)"
"group_mean(-(open - low)/(vwap - low), subindustry)"
"group_zscore((open - low)/(vwap - close), subindustry)"
"group_rank((open - low)/(vwap - close), subindustry)"
"group_mean((open - low)/(vwap - close), subindustry)"
"group_zscore(-(open - low)/(vwap - close), subindustry)"
"group_rank(-(open - low)/(vwap - close), subindustry)"
"group_mean(-(open - low)/(vwap - close), subindustry)"
"group_zscore((open - low)/(vwap - returns), subindustry)"
"group_rank((open - low)/(vwap - returns), subindustry)"
"group_mean((open - low)/(vwap - returns), subindustry)"
"group_zscore(-(open - low)/(vwap - returns), subindustry)"
"group_rank(-(open - low)/(vwap - returns), subindustry)"
"group_mean(-(open - low)/(vwap - returns), subindustry)"
"group_zscore((open - low)/(vwap - adj_close), subindustry)"
"group_rank((open - low)/(vwap - adj_close), subindustry)"
"group_mean((open - low)/(vwap - adj_close), subindustry)"
"group_zscore(-(open - low)/(vwap - adj_close), subindustry)"
"group_rank(-(open - low)/(vwap - adj_close), subindustry)"
"group_mean(-(open - low)/(vwap - adj_close), subindustry)"
"group_zscore((open - low)/(returns - open), subindustry)"
"group_rank((open - low)/(returns - open), subindustry)"
"group_mean((open - low)/(returns - open), subindustry)"
"group_zscore(-(open - low)/(returns - open), subindustry)"
"group_rank(-(open - low)/(returns - open), subindustry)"
"group_mean(-(open - low)/(returns - open), subindustry)"
"group_zscore((open - low)/(returns - high), subindustry)"
"group_rank((open - low)/(returns - high), subindustry)"
"group_mean((open - low)/(returns - high), subindustry)"
"group_zscore(-(open - low)/(returns - high), subindustry)"
"group_rank(-(open - low)/(returns - high), subindustry)"
"group_mean(-(open - low)/(returns - high), subindustry)"
